feedback coefficients,min-entropy,Lyapunov exponent,"number of 
different states"
"00101000010100	",0.424792,0.079963,7956
"00010010000110	",0.594748,0.067119,8103
"00000101010010	",0.625755,0.060856,8470
"00100000010011	",0.638155,0.082091,8355
"01010100010000	",0.532134,0.057611,8518
"00100100110000	",0.525862,0.091057,8416
"00110000000011	",0.60371,0.095986,8505
"00110101000000	",0.509015,0.101063,8335
"00000100100101	",0.573358,0.077167,8368
"00000100010011	",0.561803,0.034602,8502
"00100010100010	",0.676851,0.074881,8433
"00100100010100	",0.430042,0.024453,7939
"01000010001100	",0.40061,0.086503,7779
"00110100000001	",0.549991,0.069961,8520
"01011000000001	",0.595792,0.084855,8582
"00010001001001	",0.619214,0.058912,8500
"00000011001001	",0.614301,0.067843,8418
"00010000111000	",0.604324,0.08085,8478
"00100001010100	",0.422856,0.070038,7837
"00110000001100	",0.398101,0.079953,7980
"00000010111000	",0.496621,0.070163,8181
"01001011000000	",0.48446,0.08688,8272
"00100101000100	",0.45908,0.089293,8121
"00000000100111	",0.721286,0.091556,8408
"00011000010100	",0.428047,0.058038,7965
"00000010011010	",0.574638,0.072993,8450
"00111000010000	",0.516826,0.060674,8445
"01010000101000	",0.649105,0.097831,8429
"00001000100110	",0.566562,0.052549,8357
"00000000001111	",0.588415,0.077803,8274
"00000010100101	",0.611337,0.084767,8303
"00101000100100	",0.411763,0.099491,7875
"00000000111001	",0.655195,0.042621,8414
"00000101000101	",0.543631,0.091947,8327
"00000001110010	",0.723023,0.10154,8388
"00010110000010	",0.61223,0.080746,8434
"01011000001000	",0.554667,0.08912,8486
"01001000100100	",0.400098,0.084631,7957
"01010010010000	",0.587875,0.074856,8466
"01000001011000	",0.593266,0.079822,8401
"00000100110001	",0.608195,0.071773,8452
"00010001001100	",0.40267,0.102993,7686
"00100001000110	",0.564892,0.09717,8322
"00001010101000	",0.601075,0.076326,8459
"00100010001100	",0.41881,0.075293,7853
"00001001001010	",0.599284,0.094093,8481
"01000001000101	",0.60379,0.100836,8268
"00000100111000	",0.55928,0.08968,8360
"00000110011000	",0.700712,0.079253,8443
"00011100010000	",0.670936,0.105379,8407
"01000100100100	",0.385532,0.019976,7962
"00010010011000	",0.56327,0.079158,8368
"00010000100011	",0.669061,0.098417,8496
"00011101000000	",0.487502,0.092361,8279
"00001110000010	",0.585902,0.086073,8575
"00100000111000	",0.582167,0.115693,8359
"00110100001000	",0.614856,0.088909,8504
"00100000101100	",0.399092,0.107025,7760
"00001000011010	",0.563622,0.061814,8545
"00001011000100	",0.506815,0.055968,7755
"00000010101010	",0.728206,0.063279,8409
"00100001010001	",0.621743,0.07443,8262
"00110001000100	",0.461831,0.094796,8185
"01010001000100	",0.457914,0.074417,8129
"00000001011001	",0.51183,0.104162,8365
"01000100001100	",0.413638,0.061666,7961
"00100010110000	",0.551228,0.078177,8318
"00000110010100	",0.479697,0.062412,7558
"01010000001010	",0.616253,0.063216,8560
"01000001010100	",0.416315,0.082077,7920
"00000110110000	",0.576114,0.075327,8255
"00001000000111	",0.606689,0.078526,8423
"01100000001100	",0.485273,0.100916,7790
"00000011101000	",0.546033,0.065009,8111
"01010010000010	",0.710368,0.08355,8541
"00011000010010	",0.756677,0.086409,8513
"00000110000110	",0.708329,0.100681,8423
"01000000011010	",0.534635,0.093911,8412
"00100000101001	",0.731107,0.095916,8322
"00110000101000	",0.585621,0.104551,8505
"00000100010110	",0.579284,0.104224,8385
"00010011100000	",0.682495,0.094759,8503
"00101000100001	",0.587237,0.050476,8537
"00100011000010	",0.634038,0.064745,8386
"00000101110000	",0.537658,0.076779,8217
"00100100000101	",0.552093,0.093497,8351
"00010010100001	",0.563391,0.052421,8531
"01010000010001	",0.552915,0.081613,8523
"00000001011010	",0.750167,0.083959,8376
"00011001001000	",0.547947,0.057426,8478
"01000001110000	",0.494194,0.068637,8352
"00010000101001	",0.570022,0.070191,8480
"00010001010010	",0.615623,0.072515,8227
"00000101100001	",0.5868,0.077395,8512
"00100001101000	",0.54069,0.086182,8346
"01000111000000	",0.498031,0.110294,8327
"01000101001000	",0.586519,0.09225,8504
"01001000110000	",0.494357,0.074296,8442
"01010000010100	",0.462088,0.087331,8035
"00100100100100	",0.464208,0.053021,7900
"00010110001000	",0.542006,0.071293,8480
